title,duration,genre,rating,description,stars,votes
"Love, Death & Robots",15,"Animation, Short, Action",8.4,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.","Fred Tatasciore, Scott Whyte, Nolan North, Noshir Dalal","165,153"
Money Heist,70,"Action, Crime, Drama",8.2,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royalt of Spain.,"Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso","469,640"
Orange Is the New Black,59,"Comedy, Crime, Drama",8.1,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.","Taylor Schilling, Danielle Brooks, Taryn Manning, Emma Myles","300,354"
Jurassic Park,127,"Action, Adventure, Sci-Fi",8.2,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the parks cloned dinosaurs to run loose.,"Steven Spielberg, | ,     Stars:, Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough","978,402"
Prison Break,44,"Action, Crime, Drama",8.3,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper","529,304"
Billions,60,Drama,8.4,"New money means no mercy as Mike Prince takes the Axe Capital throne. Chuck Rhoades is convinced no one should have that much wealth - or power. As all the players seek out new alliances, only one things for certain - wealth means war.","Paul Giamatti, Damian Lewis, Maggie Siff, David Costabile","93,451"
Once Upon a Time,60,"Adventure, Fantasy, Romance",7.7,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,"Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle","223,549"
Titans,45,"Action, Adventure, Crime",7.6,A team of young superheroes combat evil and other perils.,"Brenton Thwaites, Anna Diop, Ryan Potter, Teagan Croft","98,315"
The 100,43,"Drama, Mystery, Sci-Fi",7.6,"Set 97 years after a nuclear war destroyed civilization, when a spaceship housing humanitys lone survivors sends 100 juvenile delinquents back to Earth, hoping to repopulate the planet.","Eliza Taylor, Bob Morley, Marie Avgeropoulos, Isaiah Washington","248,827"
Jaws,124,"Adventure, Thriller",8.1,"When a killer shark unleashes chaos on a beach community off Cape Cod, its up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Steven Spielberg, | ,     Stars:, Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary","600,404"
The Catholic School,106,Drama,5.8,"In late September 1975, a renowned Catholic school in Rome for sheltered, upper-middle-class boys is attacked in what became known as the Circeo Massacre. The film examines what triggered the violence.","Stefano Mordini, | ,     Stars:, Benedetta Porcaroli, Giulio Pranno, Emanuele Maria Di Stefano, Giulio Fochetti","1,536"
South Park,22,"Animation, Comedy",8.7,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall","366,394"
Spartacus,55,"Action, Adventure, Biography",8.5,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Andy Whitfield, Lucy Lawless, Manu Bennett, Daniel Feuerriegel","241,105"
Clueless,97,"Comedy, Romance",6.9,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high schools pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.","Amy Heckerling, | ,     Stars:, Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd","216,233"
Chesapeake Shores,42,"Drama, Family",7.5,"A young woman returns to her hometown to help save her sisters failing inn, where she contends with memories and faces from her past.","Meghan Ory, Barbara Niven, Laci J Mailey, Emilie Ullerup","7,676"
Demon Slayer: Kimetsu no Yaiba,24,"Animation, Action, Adventure",8.7,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","Natsuki Hanae, Zach Aguilar, Abby Trott, Yoshitsugu Matsuoka","97,968"
The Queens Gambit,60,Drama,8.6,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","Anya Taylor-Joy, Chloe Pirrie, Bill Camp, Marcin Dorocinski","432,644"
Pretty Little Liars,44,"Drama, Mystery, Romance",7.4,"Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend.","Troian Bellisario, Ashley Benson, Lucy Hale, Shay Mitchell","166,548"
Mindhunter,60,"Crime, Drama, Mystery",8.6,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross","281,506"
"Murder, She Wrote",50,"Crime, Drama, Mystery",7.1,"Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.","Angela Lansbury, William Windom, Ron Masak, Louis Herthum","24,323"
From,52,"Drama, Horror, Mystery",7.6,"Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normalcy and seek a way out, they must also survive the threats of the surrounding forest.","Scott McCord, Harold Perrineau, Catalina Sandino Moreno, Eion Bailey","18,826"
Spiderhead,106,"Action, Crime, Drama",5.4,"In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.","Joseph Kosinski, | ,     Stars:, Chris Hemsworth, Miles Teller, Jurnee Smollett, Mark Paguio","52,102"
CSI: Crime Scene Investigation,60,"Crime, Drama, Mystery",7.7,Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.,"Laurence Fishburne, Marg Helgenberger, George Eads, Eric Szmanda","83,833"
Evil,42,"Crime, Drama, Horror",7.7,"A skeptical clinical psychologist joins a priest-in-training and a blue collar contractor as they investigate supposed abnormal events, including, demonic possession, and other extraordinary occurrences to see if theres a scientific explanation or if something truly supernaturals at work.","Katja Herbers, Mike Colter, Aasif Mandvi, Michael Emerson","26,248"
The Lincoln Lawyer,60,"Crime, Drama, Mystery",7.7,An iconoclastic idealist runs his law practice out of the back of his Lincoln Town Car in this series based on Michael Connellys bestselling novels.,"Manuel Garcia-Rulfo, Neve Campbell, Becki Newton, Angus Sampson","35,356"
Arrested Development,22,Comedy,8.7,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.","Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett","302,834"
Heartland,45,"Drama, Family",8.4,"A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.","Amber Marshall, Shaun Johnston, Michelle Morgan, Chris Potter","16,702"
Mo,30,"Comedy, Drama",7.6,"Mo Najjar who straddles the line between two cultures, three languages and a ton of bullshit. The fictional Mo is a Palestinian refugee living one step away from asylum on the path to U.S. citizenship.","Mohammed Amer, Teresa Ruiz, Omar Elba, Farah Bsieso","5,261"
Inventing Anna,65,Drama,6.8,"A journalist with a lot to prove investigates the case of Anna Delvey, the Instagram-legendary German heiress who stole the hearts of New Yorks social scene - and stole their money as well.","Anna Chlumsky, Julia Garner, Arian Moayed, Katie Lowes","65,185"
It,135,Horror,7.3,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.","Andy Muschietti, | ,     Stars:, Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis","537,240"
Narcos,49,"Biography, Crime, Drama",8.8,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann","416,307"
The Sinner,45,"Crime, Drama, Mystery",7.9,Anthology series that examines how and why ordinary people commit brutal crimes.,"Bill Pullman, Jessica Hecht, Dohn Norwood, Adam LeFevre","120,241"
Homeland,55,"Crime, Drama, Mystery",8.3,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,"Claire Danes, Mandy Patinkin, Damian Lewis, Rupert Friend","339,482"
The Haunting of Hill House,572,"Drama, Horror, Mystery",8.6,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","Michiel Huisman, Carla Gugino, Henry Thomas, Elizabeth Reaser","237,198"
Doc Martin,46,"Comedy, Drama, Romance",8.4,"The trials and tribulations of Dr. Martin Ellingham, who moves from London to the picturesque village of Portwenn in Cornwall.","Martin Clunes, Caroline Catz, Ian McNeice, Joe Absolom","16,147"
Hawaii Five-0,42,"Action, Crime, Drama",7.4,"When Steve McGarrett returns home to Oahu to find his fathers killer, the Governor offers him the chance to run his own task force: Five-0.","Alex OLoughlin, Scott Caan, Taylor Wily, Daniel Dae Kim","73,530"
Star Trek: The Original Series,50,"Action, Adventure, Sci-Fi",8.4,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.","William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols","83,805"
The Next 365 Days,112,"Drama, Romance",2.7,Laura and Massimos relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.,"Barbara Bialowas, Tomasz Mandes, | ,     Stars:, Anna-Maria Sieklucka, Michele Morrone, Simone Susinna, Magdalena Lamparska","5,495"
Dont Look Up,138,"Comedy, Drama, Sci-Fi",7.2,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,"Adam McKay, | ,     Stars:, Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett","525,424"
Murdoch Mysteries,48,"Crime, Drama, Mystery",8.2,"In the 1890s, William Murdoch uses radical forensic techniques for the time, including fingerprinting and trace evidence, to solve some of the citys most gruesome murders.","Yannick Bisson, Helene Joy, Thomas Craig, Jonny Harris","14,381"
The Good Wife,43,"Crime, Drama, Mystery",8.4,"Alicia Florrick has been a good wife to her husband, a former states attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.","Julianna Margulies, Chris Noth, Josh Charles, Matt Czuchry","75,557"
Shadow and Bone,60,"Action, Adventure, Drama",7.6,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,"Jessie Mei Li, Ben Barnes, Archie Renaux, Freddy Carter","82,657"
Sex/Life,45,"Comedy, Drama, Romance",5.4,A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.,"Sarah Shahi, Mike Vogel, Adam Demos, Margaret Odette","21,107"
Gladiator,155,"Action, Adventure, Drama",8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Ridley Scott, | ,     Stars:, Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed","1,481,531"
The Punisher,53,"Action, Crime, Drama",8.5,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as The Punisher, with only one goal ind: to avenge them.","Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore","231,599"
Midnight Mass,450,"Drama, Fantasy, Horror",7.7,"An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest.","Kate Siegel, Zach Gilford, Kristin Lehman, Samantha Sloyan","110,997"
"Roswell, New Mexico",45,"Drama, Romance, Sci-Fi",6.2,"Centers on a town where aliens with unearthly abilities live undercover among humans. But when a violent attack points to a greater alien presence, the politics of fear and hatred threaten to expose them.","Jeanine Mason, Nathan Parsons, Michael Vlamis, Lily Cowles","12,827"
Taxi Driver,114,"Crime, Drama",8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Martin Scorsese, | ,     Stars:, Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks","819,599"
